,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
169,PRIN,                                        415.00,                                        9.00,                                        2.22,                                        397.90,                                        420.90,                                        394.30,"                                        2,477.00",                                        406.00
170,PROFL,                                        284.90,                                        -2.10,                                        -0.73,                                        287.00,                                        287.00,                                        280.00,"                                        7,169.00",                                        287.00
171,PRVU,                                        198.30,                                        -3.60,                                        -1.78,                                        203.00,                                        203.00,                                        198.00,"                                        53,934.00",                                        201.90
172,PSF,                                        7.64,                                        -0.05,                                        -0.65,                                        7.69,                                        7.69,                                        7.61,"                                        11,350.00",                                        7.69
173,RADHI,                                        216.00,                                        1.00,                                        0.47,                                        215.00,                                        217.00,                                        211.90,"                                        3,684.00",                                        215.00
174,RBCL,"                                        12,450.00",                                        100.00,                                        0.81,"                                        12,596.90","                                        12,597.00","                                        12,400.00",                                        178.00,"                                        12,350.00"
175,RBCLPO,"                                        10,252.00",                                        201.00,                                        2.00,"                                        10,252.00","                                        10,252.00","                                        10,252.00",                                        10.00,"                                        10,051.00"
176,RFPL,                                        227.90,                                        1.90,                                        0.84,                                        221.80,                                        230.00,                                        221.80,"                                        2,399.00",                                        226.00
177,RHGCL,                                        207.90,                                        0.90,                                        0.43,                                        210.90,                                        211.00,                                        203.00,"                                        1,130.00",                                        207.00
178,RHPL,                                        235.20,                                        8.20,                                        3.61,                                        231.00,                                        239.00,                                        225.00,"                                        29,380.00",                                        227.00
179,RIDI,                                        490.00,                                        0.00,                                        0.00,                                        490.00,                                        493.00,                                        480.20,"                                        49,287.00",                                        490.00
180,RLFL,                                        294.00,                                        -3.00,                                        -1.01,                                        295.00,                                        297.00,                                        292.00,"                                        2,040.00",                                        297.00
181,RMDC,                                        948.00,                                        -0.10,                                        -0.01,                                        950.00,                                        953.00,                                        935.10,"                                        3,008.00",                                        948.10
182,RMF1,                                        7.50,                                        -0.06,                                        -0.79,                                        7.42,                                        7.50,                                        7.31,"                                        11,100.00",                                        7.56
183,RSDC,                                        529.00,                                        9.00,                                        1.73,                                        525.00,                                        540.00,                                        525.00,                                        350.00,                                        520.00
184,RULB,                                        870.10,                                        2.10,                                        0.24,                                        880.00,                                        883.90,                                        870.00,                                        320.00,                                        868.00
185,RURU,                                        725.30,                                        -1.00,                                        -0.14,                                        740.80,                                        740.80,                                        717.00,                                        893.00,                                        726.30
186,SABSL,                                        900.00,                                        -15.00,                                        -1.64,                                        905.00,                                        905.00,                                        899.30,"                                        1,349.00",                                        915.00
187,SADBL,                                        304.30,                                        1.30,                                        0.43,                                        304.80,                                        305.00,                                        298.00,"                                        5,995.00",                                        303.00
188,SAEF,                                        9.65,                                        0.00,                                        0.00,                                        9.65,                                        9.65,                                        9.65,"                                        5,000.00",                                        9.65
189,SAHAS,                                        452.00,                                        2.00,                                        0.44,                                        441.00,                                        455.00,                                        441.00,"                                        6,024.00",                                        450.00
190,SANIMA,                                        223.20,                                        -2.80,                                        -1.24,                                        224.50,                                        227.50,                                        223.00,"                                        44,187.00",                                        226.00
191,SAPDBL,                                        220.30,                                        -3.70,                                        -1.65,                                        222.10,                                        223.90,                                        220.30,"                                        2,013.00",                                        224.00
192,SBCF,                                        7.43,                                        0.27,                                        3.77,                                        7.16,                                        7.44,                                        7.03,"                                        2,600.00",                                        7.16
193,SBD87,                                        745.30,                                        -6.70,                                        -0.89,                                        745.30,                                        745.30,                                        745.30,                                        25.00,                                        752.00
194,SBI,                                        279.00,                                        -4.50,                                        -1.59,                                        282.00,                                        282.00,                                        277.00,"                                        3,600.00",                                        283.50
195,SBID83,                                        895.10,                                        7.10,                                        0.80,                                        895.10,                                        895.10,                                        895.10,                                        25.00,                                        888.00
196,SBL,                                        309.20,                                        -4.30,                                        -1.37,                                        312.00,                                        315.50,                                        309.00,"                                        16,711.00",                                        313.50
197,SBLD2082,                                        980.40,                                        -20.00,                                        -2.00,                                        980.40,                                        980.40,                                        980.40,                                        50.00,"                                        1,000.40"
198,SBLD84,                                        800.00,                                        0.00,                                        0.00,                                        800.00,                                        800.00,                                        800.00,                                        25.00,                                        800.00
199,SCB,                                        403.20,                                        1.20,                                        0.30,                                        402.00,                                        405.00,                                        400.00,"                                        4,010.00",                                        402.00
200,SDBD87,                                        757.10,                                        1.10,                                        0.15,                                        756.00,                                        757.10,                                        756.00,                                        50.00,                                        756.00
201,SDLBSL,                                        931.00,                                        9.00,                                        0.98,                                        912.60,                                        932.00,                                        912.60,                                        260.00,                                        922.00
202,SEF,                                        7.99,                                        0.00,                                        0.00,                                        7.84,                                        7.99,                                        7.84,                                        292.00,                                        7.99
203,SFCL,                                        257.70,                                        -0.30,                                        -0.12,                                        256.00,                                        258.10,                                        255.00,"                                        7,110.00",                                        258.00
